Url,Name,Price,Value,Category,SKU,Present,Time Take,Color,Size,Region,Description
https://www.dior.com/en_us/products/couture-S0617RSKN_M76K_TU-diorama-wallet-on-chain-clutch-in-onyx-metallic-calfskin-with-micro-cannage-motif,"diorama wallet on chain clutch in onyx metallic calfskin with ""micro-cannage"" motif",720,USD,women/small leather goods/wallets/diorama,S0617RSKN_M76K_TU,В наличии,0.5145559310913086,Black,None,USA,"Diorama Wallet on Chain clutch in onyx-coloured metallic calfskin with ""Micro-cannage"" motif, jewellery in ruthenium-tone metal."
https://www.dior.com/en_us/products/couture-S0617OVKK_M413_TU-diorama-calfskin-wallet,diorama calfskin wallet,680,USD,women/small leather goods/wallets/diorama,S0617OVKK_M413_TU,В наличии,0.4503936767578125,Pink,None,USA,"Diorama Élancée wallet in powder pink grained calfskin with large ""Cannage"" design, jewellery in light gold-tone metal."
https://www.dior.com/en_us/products/couture-S0617OVKK_M85B_TU-diorama-calfskin-wallet,diorama calfskin wallet,680,USD,women/small leather goods/wallets/diorama,S0617OVKK_M85B_TU,В наличии,0.49166226387023926,Blue,None,USA,"Diorama Élancée wallet in indigo blue grained calfskin with large ""Cannage"" design, jewellery in light gold-tone metal."
https://www.dior.com/en_us/products/couture-S0617OVKK_M383_TU-diorama-calfskin-wallet,diorama calfskin wallet,680,USD,women/small leather goods/wallets/diorama,S0617OVKK_M383_TU,В наличии,0.5431399345397949,Red,None,USA,"Diorama Élancée wallet in bright red grained calfskin with large ""Cannage"" design, jewellery in light gold-tone metal."
https://www.dior.com/en_us/products/couture-S0617PVKK_M900_TU-diorama-calfskin-wallet,diorama calfskin wallet,680,USD,women/small leather goods/wallets/diorama,S0617PVKK_M900_TU,В наличии,0.4616124629974365,Black,None,USA,"Diorama Élancée wallet in black grained calfskin with large ""Cannage"" design, jewellery in silver-tone metal."
https://www.dior.com/en_us/products/couture-S0311OVKQ_M04J_TU-diorama-calfskin-wallet,diorama calfskin wallet,1200,USD,women/small leather goods/wallets/diorama,S0311OVKQ_M04J_TU,В наличии,0.46604275703430176,Gold,None,USA,Diorama Croisière wallet in gold-tone metallic grained calfskin with large Cannage design.
https://www.dior.com/en_us/products/couture-S0311OVKK_M413_TU-diorama-calfskin-wallet,diorama calfskin wallet,1200,USD,women/small leather goods/wallets/diorama,S0311OVKK_M413_TU,В наличии,0.4569871425628662,Pink,None,USA,"Diorama Croisière wallet in powder pink grained calfskin with large ""Cannage"" design, jewellery in light gold-tone metal."
https://www.dior.com/en_us/products/couture-S0617OVKK_M900_TU-diorama-calfskin-wallet,diorama calfskin wallet,680,USD,women/small leather goods/wallets/diorama,S0617OVKK_M900_TU,В наличии,0.4865531921386719,Black,None,USA,"Diorama Élancée wallet in black grained calfskin with large ""Cannage"" design, jewellery in light gold-tone metal."
https://www.dior.com/en_us/products/couture-S0311OVKK_M85B_TU-diorama-calfskin-wallet,diorama calfskin wallet,1200,USD,women/small leather goods/wallets/diorama,S0311OVKK_M85B_TU,В наличии,0.5114648342132568,Blue,None,USA,"Diorama Croisière wallet in indigo blue grained calfskin with large ""Cannage"" design, jewellery in light gold-tone metal."
https://www.dior.com/en_us/products/couture-S0027PVRB_M414_TU-lady-dior-calfskin-wallet,lady dior calfskin wallet,610,USD,women/small leather goods/wallets/lady dior,S0027PVRB_M414_TU,В наличии,0.5621399879455566,Pink,None,USA,"""Lady Dior"" Eden wallet in light pink patent ""Cannage"" calfskin, jewellery in silver-tone metal."
https://www.dior.com/en_us/products/couture-S0311OVKK_M900_TU-diorama-calfskin-wallet,diorama calfskin wallet,1200,USD,women/small leather goods/wallets/diorama,S0311OVKK_M900_TU,В наличии,0.5377089977264404,Black,None,USA,"Diorama Croisière wallet in black grained calfskin with large ""Cannage"" design, jewellery in light gold-tone metal."
https://www.dior.com/en_us/products/couture-S0027OVRB_M900_TU-lady-dior-calfskin-wallet,lady dior calfskin wallet,610,USD,women/small leather goods/wallets/lady dior,S0027OVRB_M900_TU,В наличии,0.6232941150665283,Black,None,USA,"""Lady Dior"" Eden wallet in black patent ""Cannage"" calfskin, jewellery in light gold-tone metal."
